title,brand,brandJp,category,description
ネバーエンディング サマー,Maison Margiela,メゾン マルジェラ,シトラス系/ウッディ系,イタリアのアマルフィ海岸での終わらない夏をテーマにした、爽やかさと深みを兼ね備えたシトラスウッディの香り。ビターオレンジ、アールグレイ、ベチバーなどが織りなす。
アイディアル ワン,Maison Margiela,メゾン マルジェラ,ウッディ系/ムスク系,「運命の肌の香り」を具現化した、センシュアルなフレグランス。シトラス、フローラル、スキンムスク、バニラ、ガイアックウッドの深みが特徴。
セレスティアル ウィスパー,Maison Margiela,メゾン マルジェラ,オリエンタル系,「聖なる煙の香り」をコンセプトにした、インセンス、アルデヒド、ミルラ、バニラなどが溶け合う神秘的な香り。
ユーロン,Giorgio Armani,ジョルジオ アルマーニ,シトラス系/アロマティック系,中国・雲南省の茶畑から着想を得た、フレッシュなシトラスとグリーンティー、ブラックティーの洗練された香り。
メロディ,Miller Harris,ミラーハリス,フローラル系/ムスク系,愛の記憶や憧れの余韻を表現した、ブラックカラント、ローズ、ラベンダー、ホワイトムスクが織りなす詩的な香り。
スタッカート,Miller Harris,ミラーハリス,シトラス系/フローラル系,弾けるようなシトラスノートと軽やかなフローラルが特徴の、明るく活気のある香り。
ミニア,Miller Harris,ミラーハリス,アロマティック系/フレッシュ系,ヴァージニア・ウルフの小説『灯台へ』から着想を得た、カルダモン、セージ、ミント、ユーカリなどが香るアロマティックマリン調の香り。
リザーブ ホイップドチェリー,Clean,クリーン,フルーティー系/グルマン系,ワイルドチェリー、パイナップル、プラリネ、バニラクリームなどが織りなす、デザートのような甘く魅惑的な香り。
ミルク ＆ マッチャ,Obvious,オブヴィアス,グルマン系,慌ただしい朝のカフェをイメージした、抹茶の渋みとミルクのまろやかさが溶け合う心地よい香り。
サンタル ブラン ル パルファム,Van Cleef & Arpels,ヴァンクリーフ&アーペル,ウッディ系/パウダリー系,純粋なサンダルウッドをテーマにした、マンダリン、イチジクミルク、サンダルウッド、ムスクが織りなす柔らかく繊細な香り。
パッサージュ ダンフェ エクストリーム,L'artisan Parfumeur,ラルチザン パフューム,ウッディ系/フローラル系,「よみがえりの花」ヒガンバナにインスパイアされた、インセンス、ユリ、サンダルウッドなどが香る静かで落ち着いた香り。
シャッセ オ パピオン,L'artisan Parfumeur,ラルチザン パフューム,フローラル系,満開の花々を思わせる、軽やかで明るいフローラルブーケの香り。
ルペルスヴァン,Serge Lutens,セルジュ ルタンス,ムスク系,「心の嵐を越える」癒しをテーマにした、ムスク、クラリセージエッセンス、ホワイトアンバーが優雅に香る。
シンフォニー,Louis Vuitton,ルイ・ヴィトン,シトラス系,ベルガモット、グレープフルーツ、ジンジャーが織りなす、フレッシュでスパイシーな柑橘系の香り。
サユ,Ahres,アーレス,ウッディ系,日本の自然を思わせる、落ち着いたウッディノートと穏やかなグリーンの香り。
サンセット レイニー バレー,Ahres,アーレス,フレッシュ系/ウッディ系,雨上がりの夕暮れの谷をイメージした、アクアノート、カルダモン、シダーウッドが香るしっとりとしたウッディの香り。
デゾベイサン,Givenchy,ジバンシイ,フローラル系,挑発的で魅惑的なフローラルノートが特徴の、大胆な女性らしさを表現する香り。
アンファン テリブル,Givenchy,ジバンシイ,シトラス系/ウッディ系/ムスク系,創始者ユベール・ド・ジバンシィへのオマージュ。ベルガモット、ジンジャー、ブラックティー、シダーウッド、ムスクが香る型破りな香り。
リブレ ロー ニュ,Yves Saint Laurent,イヴ・サンローラン,シトラス系/フローラル系,アルコールフリーで肌に優しい、ジューシーなシトラスとオレンジブロッサムが軽やかに広がるフレッシュな香り。
イブニング グロー,Tamburins,タンバリンズ,フローラル系/ムスク系,夕暮れの空のような、暖かく包み込むフローラルとムスクの香り。
ボタリ,Tamburins,タンバリンズ,オリエンタル系/ムスク系,キノコの胞子が弾ける生命力を表現した、アキガラウッド、アンバーグリス、ムスク、モスが織りなす奥深く官能的な香り。
チャンス オー スプランディド,Chanel,シャネル,フルーティー系/フローラル系,ラズベリー、ローズ、ローズゼラニウム、セダー、ホワイトムスクが織りなす、まばゆい輝きを放つ魅惑的なフルーティフローラル。
ガブリエル シャネル ロー,Chanel,シャネル,フローラル系,ジャスミン、イランイラン、オレンジブロッサム、チュベローズが織りなす、フレッシュさが弾けるフルーティフローラルの香り。
ユーカリプタス 20,Le Labo,ル ラボ,アロマティック系,爽やかなユーカリプタスを基調とした、清潔感のあるアロマティックな香り。
ホワイト サボン,SUNAH,スナハ,ソープ系,ラフランス、スイセン、ムスクなどが香る、湯上がりのような優しく柔らかなサボンの香り。
フォーチュイタス フィンリー,Penhaligon's,ペンハリガン,ウッディ系/スパイシー系/レザー系,庭師のフィンリーとブランシュ夫人の禁断の恋をテーマに、ソルティーピスタチオ、バイオレットリーフ、レザーが織りなす複雑な香り。
ウッディ サボン,SUNAH,スナハ,ソープ系/ウッディ系,ベルガモット、ピンクペッパー、シダーウッド、サンダルウッドが調和した、爽やかなサボンと深みのあるウッディの香り。
